Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:57:36.270000,BOR,5,0 days 00:01:16.803000,46.0,3.0,,,0 days 00:00:20.279000,0 days 00:00:35.982000,0 days 00:00:20.542000,0 days 01:56:39.760000,0 days 01:57:15.742000,0 days 01:57:36.284000,199.0,187.0,257.0,271.0,True,MEDIUM,3.0,True,Audi,0 days 01:56:19.467000,2026-06-07 14:04:11.726,1,18.0,False,,False,True
0 days 01:58:53.130000,BOR,5,0 days 00:01:16.860000,47.0,3.0,,,0 days 00:00:20.245000,0 days 00:00:36.045000,0 days 00:00:20.570000,0 days 01:57:56.529000,0 days 01:58:32.574000,0 days 01:58:53.144000,201.0,188.0,257.0,272.0,False,MEDIUM,4.0,True,Audi,0 days 01:57:36.270000,2026-06-07 14:05:28.529,1,18.0,False,,False,True
0 days 02:00:10.312000,BOR,5,0 days 00:01:17.182000,48.0,3.0,,,0 days 00:00:20.282000,0 days 00:00:36.144000,0 days 00:00:20.756000,0 days 01:59:13.426000,0 days 01:59:49.570000,0 days 02:00:10.326000,196.0,186.0,260.0,273.0,False,MEDIUM,5.0,True,Audi,0 days 01:58:53.130000,2026-06-07 14:06:45.389,1,18.0,False,,False,True
0 days 02:01:29.665000,BOR,5,0 days 00:01:19.353000,49.0,3.0,,,0 days 00:00:20.412000,0 days 00:00:38.004000,0 days 00:00:20.937000,0 days 02:00:30.738000,0 days 02:01:08.742000,0 days 02:01:29.679000,191.0,183.0,260.0,283.0,False,MEDIUM,6.0,True,Audi,0 days 02:00:10.312000,2026-06-07 14:08:02.571,1,18.0,False,,False,True
0 days 02:02:52.565000,BOR,5,0 days 00:01:22.900000,50.0,3.0,,,0 days 00:00:21.092000,0 days 00:00:36.999000,0 days 00:00:24.809000,0 days 02:01:50.771000,0 days 02:02:27.770000,0 days 02:02:52.579000,181.0,176.0,214.0,283.0,False,MEDIUM,7.0,True,Audi,0 days 02:01:29.665000,2026-06-07 14:09:21.924,1,18.0,False,,False,True
0 days 02:04:10.961000,BOR,5,0 days 00:01:18.396000,51.0,3.0,,,0 days 00:00:21.040000,0 days 00:00:36.528000,0 days 00:00:20.828000,0 days 02:03:13.619000,0 days 02:03:50.147000,0 days 02:04:10.975000,197.0,186.0,257.0,272.0,False,MEDIUM,8.0,True,Audi,0 days 02:02:52.565000,2026-06-07 14:10:44.824,1,18.0,False,,False,True
0 days 02:05:29.514000,BOR,5,0 days 00:01:18.553000,52.0,3.0,,,0 days 00:00:20.314000,0 days 00:00:36.653000,0 days 00:00:21.586000,0 days 02:04:31.289000,0 days 02:05:07.942000,0 days 02:05:29.528000,198.0,183.0,264.0,274.0,False,MEDIUM,9.0,True,Audi,0 days 02:04:10.961000,2026-06-07 14:12:03.220,1,18.0,False,,False,True
0 days 02:06:50.832000,BOR,5,0 days 00:01:21.318000,53.0,3.0,,,0 days 00:00:21.364000,0 days 00:00:37.889000,0 days 00:00:22.065000,0 days 02:05:50.892000,0 days 02:06:28.781000,0 days 02:06:50.846000,175.0,180.0,257.0,282.0,False,MEDIUM,10.0,True,Audi,0 days 02:05:29.514000,2026-06-07 14:13:21.773,1,18.0,False,,False,True
0 days 02:08:10.412000,BOR,5,0 days 00:01:19.580000,54.0,3.0,,,0 days 00:00:21.392000,0 days 00:00:36.716000,0 days 00:00:21.472000,0 days 02:07:12.238000,0 days 02:07:48.954000,0 days 02:08:10.426000,189.0,179.0,264.0,282.0,False,MEDIUM,11.0,True,Audi,0 days 02:06:50.832000,2026-06-07 14:14:43.091,1,18.0,False,,False,True
0 days 02:09:32.297000,BOR,5,0 days 00:01:21.885000,55.0,3.0,,,0 days 00:00:21.191000,0 days 00:00:38.930000,0 days 00:00:21.764000,0 days 02:08:31.617000,0 days 02:09:10.547000,0 days 02:09:32.311000,180.0,174.0,264.0,276.0,False,MEDIUM,12.0,True,Audi,0 days 02:08:10.412000,2026-06-07 14:16:02.671,1,18.0,False,,False,True
0 days 02:10:57.165000,BOR,5,0 days 00:01:24.868000,56.0,3.0,,,0 days 00:00:21.017000,0 days 00:00:37.713000,0 days 00:00:26.138000,0 days 02:09:53.328000,0 days 02:10:31.041000,0 days 02:10:57.179000,182.0,176.0,255.0,282.0,False,MEDIUM,13.0,True,Audi,0 days 02:09:32.297000,2026-06-07 14:17:24.556,1,18.0,False,,False,True
0 days 02:12:19.674000,BOR,5,0 days 00:01:22.509000,57.0,3.0,,,0 days 00:00:20.548000,0 days 00:00:36.466000,0 days 00:00:25.495000,0 days 02:11:17.727000,0 days 02:11:54.193000,0 days 02:12:19.688000,197.0,182.0,114.0,272.0,False,MEDIUM,14.0,True,Audi,0 days 02:10:57.165000,2026-06-07 14:18:49.424,124,17.0,False,,False,False
